"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","8","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","4099","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","4084","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","22869","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","18768","","","[{""page_index"":0,""viewing_time"":18768}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","30885","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7995","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","sit down","experience pain","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","38209","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7319","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","7","","causal","take a walk","think about something","50","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","45631","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7419","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","77","","causal","see something","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","51803","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6170","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","91","","causal","think about something","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","57369","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5564","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","8","","similar","sit down","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","63055","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5684","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","5","","similar","see something","","50","hear something","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","71123","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","8066","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
"","","","","","html-slider-response","10","2.1.0","84177","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","13052","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","5","","causal","choose what to do","feel scared","50","","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","89849","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5671","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","87","","causal","remember something","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","93428","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3575","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","96","","causal","hear something","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","97138","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3707","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","6","","causal","become hungry","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","103446","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6306","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","46","","similar","kick something","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","110788","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7341","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","77","","similar","remember something","","50","think about something","","","","","","",""
"","","","","","html-slider-response","16","2.1.0","115527","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4737","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","95","","similar","hear something","","50","see something","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","126326","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","10797","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","94","","causal","feel scared","see something","50","","","","","","","",""
"","","","","","html-slider-response","18","2.1.0","133406","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7079","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","73","","causal","reach for something","become hungry","50","","","","","","","",""
"","","","","","html-slider-response","19","2.1.0","137757","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4350","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","96","","causal","get tired","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","20","2.1.0","143372","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5614","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","11","","similar","get sick","","50","get tired","","","","","","",""
"","","","","","html-slider-response","21","2.1.0","147709","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4334","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","8","","causal","get sick","see something","50","","","","","","","",""
"","","","","","html-slider-response","22","2.1.0","152134","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4424","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","92","","causal","experience pain","kick something","50","","","","","","","",""
"","","","","","html-slider-response","23","2.1.0","157749","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5612","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","jump up and down","think about something","50","","","","","","","",""
"","","","","","html-slider-response","24","2.1.0","179083","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","21332","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Not at all""</strong></p>","0","","attention_check_2","","","50","","0","yes","","","","",""
"","","","","","html-slider-response","25","2.1.0","185739","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6654","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","50","","similar","choose what to do","","50","remember something","","","","","","",""
"","","","","","html-slider-response","26","2.1.0","189959","6351F748534242D4BFC6E28BB8D8C5A4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4218","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","5","","similar","become hungry","","50","experience pain","","","","","","",""
