"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","13","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","8806","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","8790","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","354732","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","345938","","","[{""page_index"":0,""viewing_time"":345938}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","393541","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","38804","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","reach for something","kick something","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","398357","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4813","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","32","","similar","get tired","feel scared","50","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","404071","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5712","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","20","","causal","get sick","","50","see something","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","409785","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5712","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","51","","causal","feel scared","","50","see something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","414712","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4924","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","65","","causal","get tired","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","419773","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5059","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","65","","causal","reach for something","","50","become hungry","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","424015","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4240","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
"","","","","","html-slider-response","10","2.1.0","427555","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3537","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","57","","causal","think about something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","431362","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3805","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","64","","causal","remember something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","434749","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3384","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","39","","causal","choose what to do","","50","feel scared","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","437845","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3095","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","24","","causal","experience pain","","50","kick something","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","441106","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3258","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","23","","causal","jump up and down","","50","think about something","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","443916","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2808","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","40","","similar","kick something","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","16","2.1.0","447932","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4014","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","29","","similar","get sick","get tired","50","","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","513000","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","65065","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","36","","similar","hear something","see something","50","","","","","","","",""
"","","","","","html-slider-response","18","2.1.0","518026","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5025","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","65","","similar","sit down","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","19","2.1.0","520551","1B1834E27C2042D5AD849E0ADC38EF5D","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2523","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","60","","causal","take a walk","","50","think about something","","","","","","",""
